Name,ID,Software
M22 Normal Fit Drill,24,SW
M24 Normal Fit Drill,26,SW
M25 Normal Fit Drill,27,SW
M27 Normal Fit Drill,30,SW
M3 Normal Fit Drill,3.4,SW
M3.5 Normal Fit Drill,3.9,SW
M30 Normal Fit Drill,33,SW
M33 Normal Fit Drill,36,SW
M36 Normal Fit Drill,39,SW
M39 Normal Fit Drill,42,SW
M4 Normal Fit Drill,4.5,SW
M42 Normal Fit Drill,45,SW
M45 Normal Fit Drill,48,SW
M48 Normal Fit Drill,52,SW
M5 Normal Fit Drill,5.5,SW
M52 Normal Fit Drill,56,SW
M56 Normal Fit Drill,62,SW
M6 Normal Fit Drill,6.6,SW
M6.5 Normal Fit Drill,7.1,SW
M64 Normal Fit Drill,70,SW
M7 Normal Fit Drill,7.6,SW
M72 Normal Fit Drill,78,SW
M8 Normal Fit Drill,9,SW
M80 Normal Fit Drill,86,SW
M90 Normal Fit Drill,96,SW
M1.6 Loose Fit Drill,2,SW
M10 Loose Fit Drill,12,SW
M100 Loose Fit Drill,112,SW
M12 Loose Fit Drill,15,SW
M13 Loose Fit Drill,16,SW
M14 Loose Fit Drill,17,SW
M16 Loose Fit Drill,19,SW
M18 Loose Fit Drill,21,SW
M2 Loose Fit Drill,2.6,SW
M2.5 Loose Fit Drill,3.1,SW
M20 Loose Fit Drill,24,SW
M22 Loose Fit Drill,26,SW
M24 Loose Fit Drill,28,SW
M25 Loose Fit Drill,29,SW
M27 Loose Fit Drill,32,SW
M3 Loose Fit Drill,3.6,SW
M3.5 Loose Fit Drill,4.2,SW
M30 Loose Fit Drill,35,SW
M33 Loose Fit Drill,38,SW
M36 Loose Fit Drill,42,SW
M39 Loose Fit Drill,45,SW
M4 Loose Fit Drill,4.8,SW
M42 Loose Fit Drill,48,SW
M45 Loose Fit Drill,52,SW
M48 Loose Fit Drill,56,SW
M5 Loose Fit Drill,5.8,SW
M52 Loose Fit Drill,62,SW
M56 Loose Fit Drill,66,SW
M6 Loose Fit Drill,7,SW
M6.5 Loose Fit Drill,7.5,SW
M64 Loose Fit Drill,74,SW
M7 Loose Fit Drill,8,SW
